label,fault_detail,load_nm,aceleracao_x_mancal_a,aceleracao_y_mancal_a,aceleracao_x_mancal_b,aceleracao_y_mancal_b,temperatura_mancal_a,temperatura_mancal_b,corrente_fase_u,corrente_fase_v,corrente_fase_w,temperatura_mancal_a_valida,temperatura_mancal_b_valida,corrente_fase_u_valida,corrente_fase_v_valida,corrente_fase_w_valida
desgaste_rolamento,BPFI_03,0,2009,646,-1023,-2648,27550,27472,16546,1226,-17971,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1465,748,-2718,302,27550,27472,15673,2808,-18675,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1329,820,-2338,-110,27550,27472,17466,2145,-19713,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-42,724,-1740,-188,27550,27472,17570,652,-18268,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1381,825,-2240,5495,27550,27472,17166,159,-17422,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1784,540,-149,2573,27550,27472,16018,979,-17208,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1099,-141,1707,-885,27550,27472,16129,166,-16171,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1779,-62,359,3022,27550,27472,16658,-1175,-15538,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2452,135,1731,-68,27550,27472,17125,-1475,-15990,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1035,-560,2472,-2181,27550,27472,17122,69,-17356,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-387,-712,-199,2707,27550,27472,17361,663,-18099,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-674,119,963,-423,27550,27472,17910,-790,-17530,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1280,-209,1590,-1489,27550,27472,18290,-1777,-16440,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2732,-730,-652,-1452,27550,27472,17822,-1558,-16155,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,889,251,-895,-4487,27550,27472,16668,-1396,-16266,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,339,152,-730,-1478,27550,27472,17433,-2332,-15259,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,573,-844,-719,-1518,27550,27472,18314,-3400,-14937,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-710,-392,-770,-2190,27550,27472,18552,-2918,-15698,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1044,23,-1643,3246,27550,27472,17379,-1191,-16356,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,717,-567,40,-231,27550,27472,18226,-2077,-16441,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1343,-379,1093,-1085,27550,27472,18876,-3554,-15527,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,61,763,-885,5832,27550,27472,18998,-3983,-15192,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,458,501,311,806,27550,27472,18014,-2754,-15559,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,642,196,666,844,27550,27472,18099,-3010,-15129,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-989,966,-1795,5389,27550,27472,18904,-4547,-14454,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1247,722,-305,-645,27550,27472,19316,-5152,-14238,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-243,166,513,-142,27550,27472,18854,-3680,-14657,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-832,358,-174,2988,27550,27472,18611,-2979,-14646,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-994,236,878,-1339,27550,27472,19245,-4902,-14460,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-870,-242,729,-620,27550,27472,19987,-6087,-13992,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-586,-570,400,-2655,27550,27472,19732,-5441,-14192,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-272,-771,998,-5933,27550,27472,18686,-4069,-14733,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,431,-198,38,138,27550,27472,19731,-5849,-14016,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1406,-171,703,-1651,27550,27472,20399,-7283,-13473,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2357,-368,547,-3724,27550,27472,19769,-7179,-13372,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1173,577,-1360,2496,27550,27472,18510,-5079,-13745,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,293,425,698,-2088,27550,27472,18562,-5738,-13108,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,697,-758,658,-2203,27550,27472,19643,-7218,-12629,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-377,-252,-2624,6238,27550,27472,20083,-7699,-12615,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1878,221,-990,1294,27550,27472,19480,-6584,-13294,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-298,-540,-535,-598,27550,27472,19901,-6974,-13125,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-75,-177,-2732,3646,27550,27472,21016,-8520,-12674,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1429,745,-84,-2948,27550,27472,21024,-8996,-12231,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-249,260,551,-1077,27550,27472,18921,-7181,-11912,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,862,-276,-94,4037,27550,27472,17995,-6300,-11892,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-714,821,1967,1072,27550,27472,18603,-7611,-11336,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-480,1050,1663,3145,27550,27472,19648,-8536,-10941,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,620,149,1467,455,27550,27472,19885,-7943,-11290,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,11,727,1589,-1804,27550,27472,19556,-7527,-12134,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-367,789,170,1376,27550,27472,20916,-9681,-11522,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,473,-844,710,-4113,27550,27472,21301,-10698,-10714,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,565,-1032,249,-5066,27550,27472,19835,-9703,-9973,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1352,-363,-2166,-73,27550,27472,18451,-8065,-10444,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-84,-1040,-444,-3833,27550,27472,17592,-8310,-9550,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1150,-1273,-701,-1153,27550,27472,18828,-9669,-9193,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,199,58,-2312,4037,27550,27472,19665,-10405,-9284,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,910,57,-537,-1135,27550,27472,19879,-9972,-10048,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2034,-579,-214,-149,27550,27472,20670,-10639,-10289,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,576,32,-714,1612,27550,27472,21520,-11983,-9779,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-249,656,397,-1307,27550,27472,20385,-12082,-8831,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-320,222,90,2472,27550,27472,18659,-10837,-8461,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-634,332,273,2734,27550,27472,17666,-9593,-8330,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-702,460,672,511,27550,27472,17296,-10122,-7272,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1700,716,-184,1278,27550,27472,18885,-11699,-7209,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-777,-147,930,-3062,27550,27472,19567,-11997,-7717,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1322,306,321,-239,27550,27472,19782,-11218,-8872,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-564,-275,465,3415,27550,27472,21250,-13285,-8551,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1674,-333,2716,-984,27550,27472,21019,-13978,-7676,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1385,-4726,1363,1595,27550,27472,19201,-12723,-6557,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-8555,1378,-346,2241,27550,27472,18346,-11539,-6858,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2514,14287,803,-3127,27550,27472,17320,-11579,-5751,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,15503,-6794,-1210,-1329,27550,27472,17672,-12359,-4998,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,12084,-1528,-2301,-833,27550,27472,18762,-13493,-5383,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-9850,10780,-1044,-2571,27550,27472,19393,-13458,-6196,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,534,-12249,-1544,168,27550,27472,20560,-14169,-6708,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,4079,-11888,-709,-1063,27550,27472,21034,-15277,-6004,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-17056,8541,-2203,-2945,27550,27472,18351,-15517,-4627,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1677,-3489,1948,-1728,27550,27472,16729,-15402,-4564,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,5114,-5850,4498,2417,27550,27472,17551,-13157,-4548,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-10801,7209,-1210,7842,27550,27472,16914,-13827,-3192,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1345,3283,-472,972,27550,27472,17576,-15046,-2694,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2213,-6798,4188,-10027,27550,27472,18453,-15437,-3371,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1329,6829,-3057,-2139,27550,27472,19027,-14719,-4726,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1429,7912,-992,4768,27550,27472,19904,-16089,-4010,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,8549,-1870,2620,4224,27550,27472,18781,-16352,-2513,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,5072,1489,-3928,12245,27550,27472,17813,-16050,-1958,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1111,1234,-1361,2099,27550,27472,17450,-15099,-2582,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3264,-9102,4002,-10351,27550,27472,16576,-15160,-1749,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3237,-2898,990,-4409,27550,27472,16323,-15893,-633,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3829,-130,2170,-407,27550,27472,17208,-16742,-650,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3871,-2981,3410,4168,27550,27472,18071,-16621,-1794,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2034,4841,1663,5536,27550,27472,18657,-16633,-2438,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2597,3885,886,826,27550,27472,18233,-17254,-1207,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,4251,-2579,99,-5095,27550,27472,17101,-17478,185,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1248,1400,-3977,-7687,27550,27472,16674,-17027,307,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1919,1497,-4830,-4455,27550,27472,16728,-15909,-562,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,5596,-5355,-5599,633,27550,27472,15668,-16628,730,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1404,1069,-3314,1306,27550,27472,15605,-17540,1659,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-4902,3299,-1494,1726,27550,27472,16686,-17977,868,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,4664,-4346,2491,507,27550,27472,17314,-17044,-668,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2461,-3639,1744,-2597,27550,27472,17467,-17787,-12,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-8648,5063,3586,760,27550,27472,16334,-18233,1636,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2451,-1780,5529,1159,27550,27472,15918,-18249,2142,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1342,-2257,518,4416,27550,27472,16062,-17440,1144,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-5221,7576,1123,7371,27550,27472,15620,-17470,1579,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3422,3760,1597,5416,27550,27472,14931,-18173,3011,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,6857,-4461,-2964,1337,27550,27472,15040,-18685,3515,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,367,1870,-2280,3589,27550,27472,16323,-18551,1865,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,788,560,-1513,-568,27550,27472,16518,-18274,987,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3840,-5293,-1253,-9780,27550,27472,15579,-18938,2845,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1747,-1051,-2484,-2990,27550,27472,14963,-19615,3969,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-6391,3862,-2769,-1583,27550,27472,14975,-19339,3214,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1825,-181,1606,-9049,27550,27472,15558,-18186,2168,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2002,-2618,550,-195,27550,27472,14881,-18937,3846,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-5353,2526,8,-392,27550,27472,14772,-19834,5181,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2982,1163,3686,-6280,27550,27472,15347,-19947,4955,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,5275,-4576,3009,4485,27550,27472,15207,-18723,3355,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1613,-132,-171,6440,27550,27472,14660,-18841,4040,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2499,2968,1982,2771,27550,27472,14053,-19852,5596,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3233,-3364,347,5318,27550,27472,13923,-20175,6040,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3765,-1996,-1355,903,27550,27472,14436,-19360,4781,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1596,2368,-1696,-2581,27550,27472,14298,-19431,4801,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,515,-182,-2354,-2273,27550,27472,13727,-20455,6399,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3138,-1307,-569,-4416,27550,27472,13481,-20858,7227,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2925,3219,-2209,4505,27550,27472,13597,-19887,5882,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-5816,3466,-674,4357,27550,27472,13452,-18901,4705,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1958,-221,1604,-1024,27550,27472,12924,-19334,6219,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,88,86,197,3649,27550,27472,12462,-20359,7673,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3003,1994,2485,530,27550,27472,12645,-20501,7514,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2699,-1780,5166,-5087,27550,27472,13384,-19813,5953,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2866,-3026,1188,3273,27550,27472,12913,-20785,7637,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1308,608,-935,3206,27550,27472,12390,-21488,9127,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-572,-15,1725,-3601,27550,27472,12193,-21050,8826,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1798,-2132,-3841,3278,27550,27472,12357,-19332,6599,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,762,-741,-3336,-664,27550,27472,11608,-18512,6713,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2616,901,-1595,-6851,27550,27472,11195,-19741,8245,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-91,-561,-2927,-2548,27550,27472,11050,-20439,9035,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2591,-1462,-133,-3074,27550,27472,11671,-20414,8549,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2389,951,1852,-2084,27550,27472,11828,-20888,8915,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1164,1894,1113,2952,27550,27472,11288,-22253,10670,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2714,-1121,2636,2000,27550,27472,10922,-22171,11527,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1067,-67,1184,1701,27550,27472,10771,-20049,9890,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1051,2201,-646,691,27550,27472,10547,-20840,8378,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1503,17,188,-205,27550,27472,9578,-22052,9281,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3028,-957,-2966,2794,27550,27472,9398,-20243,10514,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1679,2859,-3287,1722,27550,27472,9804,-20703,10710,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2125,1866,-1525,284,27550,27472,10666,-20703,9841,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2602,-1732,-1933,-1419,27550,27472,10270,-22193,11772,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2206,-46,101,-5863,27550,27472,9549,-22641,12833,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-5229,1192,1686,-2986,27550,27472,8857,-21133,11829,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1245,-3007,2879,-1743,27550,27472,9150,-19798,10327,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,320,-2480,2668,-884,27550,27472,8258,-18671,10076,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3684,1558,253,4755,27550,27472,7575,-19007,10923,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,313,-351,281,287,27550,27472,7744,-20131,12071,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3384,-2478,855,-4301,27550,27472,8373,-20597,12056,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1303,1550,-2601,205,27550,27472,8781,-21439,12543,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1734,1770,-1668,-604,27550,27472,8251,-22351,13950,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3842,-2103,190,-3002,27550,27472,7033,-21248,14050,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2066,0,-616,2615,27550,27472,6583,-19896,12807,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3031,2252,661,3222,27550,27472,7059,-19215,11495,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2540,-1328,1932,914,27550,27472,5976,-18430,12120,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2664,-1718,1142,3317,27550,27472,5570,-19149,13359,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1695,1016,1676,2991,27550,27472,6093,-19951,13796,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-368,268,1078,1292,27550,27472,7120,-20415,13238,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,10241,-4855,-494,520,27550,27472,6737,-21589,14755,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2337,3765,-1760,734,27550,27472,5727,-21219,15364,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-19352,12130,-2734,1944,27550,27472,4997,-19881,14614,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,10912,-6671,-1187,-510,27550,27472,5415,-19241,13559,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-7462,1420,-952,-1091,27550,27472,4719,-18325,13358,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-16928,9332,-702,945,27550,27472,3753,-18032,14082,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,10891,-11968,558,-1971,27550,27472,3675,-18953,15094,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,6986,-8009,2786,-3853,27550,27472,4466,-19803,15078,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-7716,7782,3182,-2009,27550,27472,4887,-19734,15075,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,7300,-4529,749,-2119,27550,27472,3806,-19217,16012,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,14010,-5445,-662,-1976,27550,27472,2814,-19350,16515,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3443,6498,1869,-2571,27550,27472,2502,-18808,15751,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3511,-1337,-1353,-2287,27550,27472,3136,-18605,14476,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,9214,-3660,-5055,846,27550,27472,2234,-17578,15085,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-5351,5341,-445,-4536,27550,27472,1439,-17563,15990,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-5589,3985,-3152,-1804,27550,27472,2113,-18548,16440,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1820,392,-1892,9100,27550,27472,3394,-19316,15827,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-8314,1853,2479,4810,27550,27472,2959,-20001,16797,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-4909,-636,942,1447,27550,27472,1657,-18910,17107,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,111,-3552,-958,5936,27550,27472,1184,-18224,16960,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-612,-2000,2369,-1477,27550,27472,1785,-18081,16028,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,5171,-1093,275,-5637,27550,27472,1421,-17537,15718,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,4350,578,-3752,3893,27550,27472,133,-16682,16349,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,312,3326,69,3867,27550,27472,-397,-16787,16889,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2853,1527,-1459,-407,27550,27472,889,-18046,16892,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1151,-1115,-2258,-1893,27550,27472,1726,-18428,16708,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-6708,1329,3419,-6739,27550,27472,388,-18055,17424,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2678,-261,3533,-5675,27550,27472,-988,-17175,17935,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2324,-4334,3942,-1449,27550,27472,-724,-17007,17648,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-4048,236,7144,-2607,27550,27472,578,-17298,16615,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2288,1807,4503,540,27550,27472,-848,-16584,17198,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,6576,-4395,-1697,2293,27550,27472,-1860,-16689,18340,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1661,-1068,1849,-1017,27550,27472,-1504,-17336,18729,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1806,3601,-3127,2448,27550,27472,-454,-17167,17359,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,7714,-1905,-6518,1574,27550,27472,-1054,-17169,17832,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,6923,-1419,-3550,2847,27550,27472,-2439,-16391,18611,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3592,5455,-5802,7995,27550,27472,-2895,-16095,18876,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-959,1567,-3384,1465,27550,27472,-1950,-16411,18117,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1725,-3737,792,1613,27550,27472,-1953,-16313,17885,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-8986,1536,745,1069,27550,27472,-3368,-15592,18866,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-9303,3029,4620,-7302,27550,27472,-4141,-15247,19335,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2303,-4307,5872,-1420,27550,27472,-3113,-15631,18529,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-345,-806,4129,1754,27550,27472,-2185,-15827,17978,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-5568,5863,4728,-3447,27550,27472,-3923,-15022,19041,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3768,-837,848,5514,27550,27472,-5368,-14631,19924,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,6444,-3195,-2673,2633,27550,27472,-5050,-14783,19783,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3669,4018,-3371,-5696,27550,27472,-3700,-15248,18944,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,785,44,-6571,-919,27550,27472,-5124,-14780,19788,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,9158,-6374,-5022,-3886,27550,27472,-6428,-14176,20462,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,647,621,-2638,-2773,27550,27472,-6147,-13861,19972,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3485,2350,-1936,3493,27550,27472,-4394,-14041,18487,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,5195,-4993,2753,-3782,27550,27472,-4602,-13525,18192,True,True,True,True,True
